Confirmed,Country/Region,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
10,Western Sahara,1,8,1,0,0,0,10.0,80.0,12.5,10,0,0.0,Africa
12,Holy See,0,12,0,0,0,0,0.0,100.0,0.0,12,0,0.0,Europe
14,Greenland,0,13,1,1,0,0,0.0,92.86,0.0,13,1,7.69,Europe
17,Saint Kitts and Nevis,0,15,2,0,0,0,0.0,88.24,0.0,17,0,0.0,Americas
18,Dominica,0,18,0,0,0,0,0.0,100.0,0.0,18,0,0.0,Americas
20,Laos,0,19,1,0,0,0,0.0,95.0,0.0,19,1,5.26,Western Pacific
23,Grenada,0,23,0,0,0,0,0.0,100.0,0.0,23,0,0.0,Americas
24,Saint LuciaTimor-Leste,0,22,26,0,0,0,0.0,91.67,0.0,47,1,4.35,AmericasSouth-East Asia
27,Fiji,0,18,9,0,0,0,0.0,66.67,0.0,27,0,0.0,Western Pacific
48,Belize,2,26,20,0,0,0,4.17,54.17,7.69,40,8,20.0,Americas
52,Saint Vincent and the Grenadines,0,39,13,0,0,0,0.0,75.0,0.0,50,2,4.0,Americas
62,Papua New Guinea,0,11,51,0,0,0,0.0,17.74,0.0,19,43,226.32,Western Pacific
86,Antigua and BarbudaLiechtenstein,4,146,22,4,0,5,4.65,169.76999999999998,5.85,162,10,13.16,AmericasEurope
99,Bhutan,0,86,13,4,0,1,0.0,86.87,0.0,90,9,10.0,South-East Asia
110,Barbados,7,94,9,0,0,0,6.36,85.45,7.45,106,4,3.77,Americas
114,Seychelles,0,39,75,0,0,0,0.0,34.21,0.0,108,6,5.56,Africa
116,Monaco,4,104,8,0,0,0,3.45,89.66,3.85,109,7,6.42,Europe
141,Brunei,3,138,0,0,0,0,2.13,97.87,2.17,141,0,0.0,Western Pacific
148,Trinidad and Tobago,8,128,12,1,0,0,5.41,86.49,6.25,137,11,8.03,Americas
226,Cambodia,0,147,79,1,0,4,0.0,65.04,0.0,171,55,32.16,Western Pacific
265,Eritrea,0,191,74,2,0,2,0.0,72.08,0.0,251,14,5.58,Africa
