Age,EstimatedSalary,Purchased
56,66175,0
46,27805,0
32,25237,0
25,135247,0
38,40056,0
56,65543,0
36,76556,0
40,134548,0
28,131488,0
28,23343,0
41,33500,0
53,73222,0
57,49375,0
41,29662,0
20,36964,0
39,133429,0
19,141692,0
41,79638,0
47,93666,0
55,105067,0
19,138937,0
38,87215,0
50,89042,0
29,33284,0
39,92789,0
42,104664,0
44,113468,0
59,81389,0
45,29435,0
33,74340,0
32,64078,0
20,98832,0
54,71293,0
24,115981,0
38,98781,0
26,80403,0
56,49124,0
35,115435,0
21,63919,0
42,128761,0
31,141305,0
26,55247,0
43,141172,1
19,114758,0
37,111747,0
45,82752,0
24,76573,0
25,79101,0
52,122756,1
31,46646,0
34,124185,0
53,43049,0
57,99605,0
21,118116,0
19,117379,0
23,88385,0
59,146131,1
21,60158,0
46,85417,0
35,43289,0
43,130226,0
51,120793,1
27,29823,0
53,80160,0
31,61975,0
48,29540,0
32,36364,0
25,24611,0
31,47663,0
40,71991,0
57,77679,0
38,124182,0
33,50977,0
35,114704,0
41,69115,0
43,111007,0
42,108223,0
58,80890,0
46,86387,0
32,38071,0
18,79275,0
42,92369,0
24,31938,0
26,55195,0
41,111680,0
18,24000,0
25,90588,0
41,121042,0
28,113610,0
34,140420,0
25,123691,0
52,126306,1
52,117856,1
50,58304,0
22,131783,0
59,89449,0
56,102986,0
58,109643,1
45,40764,0
24,128940,0
26,106027,0
25,58494,0
29,23373,0
51,32161,0
50,117532,0
40,112658,0
41,143633,1
54,120386,1
52,47350,0
57,113008,1
39,114297,0
44,45351,0
52,108668,0
18,134585,0
52,35305,0
54,95353,0
31,96797,0
20,85953,0
18,77458,0
22,127112,0
43,40358,0
31,23267,0
56,102745,0
44,109588,0
26,58513,0
32,46092,0
32,31338,0
43,20412,0
59,27543,0
30,125891,0
49,53496,0
56,80692,0
49,109084,0
21,112920,0
47,143555,1
54,64425,0
40,58756,0
56,38888,0
32,55735,0
46,67295,0
53,137474,1
30,134352,0
49,103042,0
24,105999,0
39,37955,0
45,57841,0
19,90640,0
59,85510,0
23,54911,0
45,79031,0
45,108726,0
37,27357,0
47,52479,0
28,81476,0
45,64811,0
42,56208,0
56,40150,0
50,91180,0
18,63286,0
44,132856,1
30,88450,0
58,41352,0
20,75069,0
56,131888,1
23,130448,0
25,34397,0
44,61555,0
26,66959,0
54,20728,0
50,70517,0
59,139180,1
41,86234,0
32,59954,0
49,67280,0
49,99459,0
41,36779,0
58,83932,0
29,92936,0
56,44466,0
19,56939,0
20,89896,0
54,55270,0
34,79163,0
19,102637,0
19,71934,0
45,84895,0
40,52307,0
54,74098,0
49,80921,0
50,25486,0
18,28335,0
36,106900,0
19,146020,0
43,141954,1
49,122795,1
23,109112,0
49,117203,0
21,31130,0
28,107508,0
34,125955,0
55,138324,1
41,80566,0
22,86703,0
51,47192,0
23,21062,0
39,104076,0
28,109780,0
33,41545,0
50,41689,0
26,31174,0
23,108461,0
33,146174,0
46,123033,0
20,29348,0
37,43714,0
53,58102,0
36,94460,0
43,122634,0
20,109930,0
36,26801,0
37,123150,0
49,92267,0
24,68136,0
58,43625,0
50,102873,0
57,120843,1
56,92592,0
35,97052,0
57,64261,0
18,21542,0
28,41677,0
45,66732,0
42,70343,0
40,59081,0
48,82856,0
47,113105,0
59,108858,1
52,39065,0
24,144097,0
33,103460,0
43,108092,0
19,146116,0
18,74693,0
29,46962,0
22,48295,0
54,33807,0
49,62348,0
26,46432,0
58,103285,0
